id,category,requirement,description,priority,module,phase,source,status,gap
RL-04,Resolution Ladder & Routing,Credential-blocked action taxonomy,"Request types are marked where resolution requires client-side access or elevated permission. A marked type cannot classify to path 1 and routes to path 3 or path 0. The marking is maintained per client, since access varies by account.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
RL-05,Resolution Ladder & Routing,Path 2 validation touch,"An engineer records a validation, certification or coordination touch on a ticket the agent still owns. The touch is a TM-21 participant event carrying a touch type, the assignee is unchanged, and the actual path resolves to 2 rather than 3.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
RL-06,Resolution Ladder & Routing,Path 0 stays on platform,"A client resolving through self-service produces a record without a Hackett touch: what was asked, what was returned, and whether the experience satisfied. The record attaches to the account and feeds AH-03.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
RL-07,Resolution Ladder & Routing,Path 0 fallback capture,"A self-service attempt abandoned into a raised ticket links to that attempt, and fallback rate is reportable by request type and account.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
RL-08,Resolution Ladder & Routing,Guided resolution for the front desk,"Where the profile holds a known-good path, Axel walks a non-technical resolver through it step by step against the current corpus. Where the profile says expertise or access is required, Axel proposes path 2 or path 3 instead of guidance.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
RL-09,Resolution Ladder & Routing,Self-service candidate surfacing,"Request types resolved repeatedly at path 1 without engineer involvement surface as path-0 candidates, ranked by volume and consistency of resolution, on a surface the service desk lead owns.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-01,Measurement & Calibration,Intake mix by path,"The share of intake landing at each of the four paths reports per account, per period, with trend, and rolls up to the portfolio.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-02,Measurement & Calibration,"Front-desk resolution rate, paths 1 and 2","Computed over tickets whose classified path was 1 or 2. A ticket classified 3 is absent from the denominator regardless of outcome, and no configuration can move it in. Reported at team and account level only; no screen, export or report resolves it to an individual.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-03,Measurement & Calibration,"Engineer resolution rate, path 3","Computed over tickets whose classified path was 3, reported at account and practice level only; no screen, export or report resolves it to an individual. Individual coaching signal comes from MC-07 cause tags and CL-04.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-04,Measurement & Calibration,Automatic misroute detection,"Where classified path and actual path disagree, a misroute is raised without anyone reporting it, and its direction is derived from the ownership trail.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-05,Measurement & Calibration,Under-routing and over-routing reported separately,"Under-routing (classified low, escalated) and over-routing (classified high, resolvable at the front desk) report as distinct rates, never as one accuracy figure.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-06,Measurement & Calibration,First-move-to-resolver measure,"First-contact resolution is defined and computed as the ticket reaching its final resolver on the first move, not as the service desk having solved it. The legacy first-level figure remains available during transition and is labelled as such.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-07,Measurement & Calibration,Misroute review queue with cause tagging,Misroutes queue for the technical manager on a weekly cadence. Each is tagged model was wrong or person was wrong with a short reason. Unreviewed misroutes age visibly and surface to the support director past a configured age.,Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-08,Measurement & Calibration,Tags feed classifier improvement,"Cause tags are retained as labelled training signal, are reportable by cause, account and manager, and a model-was-wrong volume trend is visible beside the classifier's accuracy.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-09,Measurement & Calibration,Tag sampling by the support director,"The director can sample a manager's tags, record agreement or disagreement per sampled item, and see disagreement rate per manager. Sampling is visible to the manager.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
MC-10,Measurement & Calibration,Cross-manager variance view,"Calibration quality, ladder mix, misroute rate and certification completeness compare between managers and between service desk teams, not only within accounts, on a surface the support director and service desk lead own.",Unassessed,measurement-and-calibration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-01,Account Health & Experience,Continuous account activity record,"Every touch on an account, any path, any shift, any person, any reporting line, lands in one account-level record the account owner sees without running a report, including work done by people who do not report to them.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-02,Account Health & Experience,"Patterns, not a feed","The account view surfaces recurring requests, repeated themes, commitments made to the client and precedents set, as patterns over a rolling window, not only as a chronological list.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-03,Account Health & Experience,Readiness trajectory,"A per-account trajectory composed of front-desk share, path-0 volume and fallback rate, profile maturity and knowledge coverage, calibrated against that account's own historical mix rather than a global target. Rising front-desk share reads as readiness, not as risk.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-04,Account Health & Experience,Experience trajectory,"A per-account trajectory composed of CSAT, responsiveness, expectation-management signal and perception notes. No surface renders AH-03 without AH-04 beside it.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-05,Account Health & Experience,Ranked account surface,"The CSM, the technical manager, the CSM lead and the director land on accounts ranked by attention need, computed server-side from health movement, exposure, consumption position and open divergences, never on an alphabetical or portfolio-order list.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-06,Account Health & Experience,Flexible perception capture,"Meeting transcripts, forwarded emails, typed notes and voice notes attach to the account record, are attributable and timestamped, are searchable, and feed AH-04. Voice notes transcribe.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-07,Account Health & Experience,Crystallised prior at cutover,"An account can be seeded with a dated starting assessment (owner's read of health, known fragility, key relationships, continuity risk) recorded as a stated prior. Later movement renders against the prior rather than against an empty history, and the prior remains readable and attributable.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-08,Account Health & Experience,Service-line seam,"The account-health object holds more than one service line. Support is the only line populated at launch; adding a second requires configuration, not schema change, and no surface hard-codes support as the only line.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AH-09,Account Health & Experience,Account touch cadence,"Direct account conversations log against the account with date and participant. Rolling coverage per account is visible, a per-account target interval is configurable, and accounts past their interval surface on AH-05.",Unassessed,account-health,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TC-01,Time Certification,Daily certification flow,Every role from agent to director completes a card-based end-of-day wrap-up in under a minute. It is available on any device and does not require opening a ticket.,Unassessed,time-certification,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TC-02,Time Certification,System-proposed activity,"The first card proposes the day's activities from ticket, comment, time-entry and calendar signals for confirmation. The person confirms, removes or corrects; nothing is entered from a blank screen.",Unassessed,time-certification,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TC-03,Time Certification,Off-system capture by text or voice,"One prompt asks whether anything else happened, answerable by typing or by speaking. Spoken input is transcribed into a candidate entry the person confirms.",Unassessed,time-certification,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TC-04,Time Certification,Effort estimation against placeholders,Each confirmed activity gets one card for effort. Duration fields show a placeholder and are never pre-filled with a computed actual; the person supplies the figure.,Unassessed,time-certification,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TC-05,Time Certification,Catch-all bucket,"An other bucket accepts effort without forcing a ticket, an account or an activity type, so no one is blocked from completing the wrap-up.",Unassessed,time-certification,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TC-06,Time Certification,"Other-bucket guardrail, weekly","The size of other is policed weekly, never daily. Crossing a role-configurable threshold raises to the person and their manager, and the threshold and its owner appear in the CG-01 register.",Unassessed,time-certification,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
TC-07,Time Certification,"Completeness tracking, not content grading","A missed evening is permitted; the next login shows outstanding wrap-ups. Completeness is reportable per person and per period and may drive enforcement. No report, screen or export renders certification magnitude as a performance measure of a person, and this is enforced rather than conventional.",Unassessed,time-certification,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CL-01,Collaboration Signal,Closure grading of collaborators,At closure the ticket owner grades each TM-21 participant on a short scale with optional comment. Skipping is permitted and the skip rate is reportable.,Unassessed,collaboration-signal,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CL-02,Collaboration Signal,CSM grading from client-relayed feedback,"A CSM records feedback about a named person as relayed from the client, attributed to the client source and dated, feeding the client side of CL-04.",Unassessed,collaboration-signal,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CL-03,Collaboration Signal,Weekly collaboration digest,"Once a week a person is shown who they worked with and invited to comment. It is skippable, takes under a minute, and never chases.",Unassessed,collaboration-signal,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CL-04,Collaboration Signal,Peer-and-client quadrant view,"Peer signal renders against client satisfaction in four quadrants per person and per account. Client satisfaction governs where the two disagree, and the disagreement is itself the reported signal.",Unassessed,collaboration-signal,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CL-05,Collaboration Signal,Asymmetric visibility,"Positive feedback is attributable and visible to its subject. Concerns are aggregated and anonymised, never rendered attributably, and are withheld from display until a configured minimum contributor count is reached. No interface, export or audit view can resolve an anonymised concern to its author.",Unassessed,collaboration-signal,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CG-01,Configuration Governance,Configuration register with named owners,"Every configurable parameter appears in one register with a named owner and a plain-language description of what it affects: path rules and credential markings, classifier and queue weights, all thresholds, the TC-06 guardrail, activity and outcome taxonomies, auto-resolution allowlists, consent flags, CL-05 aggregation minimums, and coverage floors. A parameter with no owner is visible as unowned.",Unassessed,configuration-governance,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CG-02,Configuration Governance,Audited change with reason and effective date,"Changing a parameter records who, when, old value, new value, a reason and an effective date. Prior values remain readable, and no interface edits or deletes the history.",Unassessed,configuration-governance,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CG-03,Configuration Governance,Change visible where it moves a number,"A trend or scorecard line spanning a configuration change renders a marker for that change, so a step is never read as behaviour when it was a setting.",Unassessed,configuration-governance,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CG-04,Configuration Governance,Review cadence and staleness,"Each parameter carries a review cadence; parameters past it surface to their owner and, unactioned, to the support director.",Unassessed,configuration-governance,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
OC-01,Outcomes,Outcome object above the ticket,"An outcome carries name, stated business result, owner, period, status, type, client visibility, linked tickets and linked contract. The type taxonomy is configurable per client from a maintained default list, each type carrying a default client-visibility setting that can be overridden per instance and is audited when it is.",Unassessed,outcomes,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
OC-02,Outcomes,Outcome-framed client reporting,"The client-facing report leads on business result with tickets and hours as supporting evidence, and shows only client-visible outcome types.",Unassessed,outcomes,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
KB-01,Solution Knowledge Base,"Authoring, lifecycle, ownership, versioning","An article moves draft to review to published to retired, has a named owner, and prior versions remain readable.",Unassessed,knowledge-base,0 Unscoped (revision 3 intake),Functional RTM r3,Built,
KB-02,Solution Knowledge Base,Candidate queue and promotion,"A candidate submitted at resolution appears in the queue and can be promoted, merged, or rejected with a reportable reason.",Unassessed,knowledge-base,0 Unscoped (revision 3 intake),Functional RTM r3,Built,
KB-03,Solution Knowledge Base,Client-to-global promotion with sanitisation,"Promoting to global forces a review for client identifiers and configuration detail, and is blocked unless the source account has explicitly opted in to cross-account contribution (AI-23).",Unassessed,knowledge-base,0 Unscoped (revision 3 intake),Functional RTM r3,Partial,The generalise flow with its findings sheet ships; the AI-23 cross-account consent gate that must block it does not exist
KB-04,Solution Knowledge Base,Article health and coverage,"Each article shows reuse count and last-validated date, stale articles flag against the review cadence, and a report lists high-volume patterns with no article.",Unassessed,knowledge-base,0 Unscoped (revision 3 intake),Functional RTM r3,Partial,Staleness and reuse signals exist on articles; the coverage report listing high-volume patterns with no article does not
KB-05,Solution Knowledge Base,Contribution attribution,Author and improver are recorded per version and aggregate per person and per account.,Unassessed,knowledge-base,0 Unscoped (revision 3 intake),Functional RTM r3,Partial,Author and improver are recorded per version; the per-person and per-account aggregation is not built
AI-23,Solution Knowledge Base,Two-scope knowledge contribution consent,"Contribution within the originating account is on by default and can be switched off per account. Contribution across accounts is off by default and requires explicit opt-in recorded in account configuration. Both are enforced at the data layer, honoured by KB-02, KB-03, AI-07, RL-08 and any historical backfill, and independent of the AI-11 processing switch.",Unassessed,knowledge-base,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
